"CPI,Dis Mag Scale,Reconstruction Costs ('000 US$),Glide,""Insured Damages, Adjusted ('000 US$)"",Total Affected,Start Year,Dis Mag Value,Total Deaths,ISO,Location,Latitude,Appeal,Dis No,No Affected,Local Time,Event Name,Disaster Subgroup,Associated Dis,Geo Locations,Adm Level,Declaration,Admin2 Code,Region,Start Month,Admin1 Code,Start Day,Total Damages ('000 US$),OFDA Response,Country,Disaster Group,""Reconstruction Costs, Adjusted ('000 US$)"",Disaster Subsubtype,Longitude,Associated Dis2,Disaster Type,No Injured,No Homeless,Origin,Seq,River Basin,End Day,End Month,""Total Damages, Adjusted ('000 US$)"",AID Contribution ('000 US$),End Year,Year,Insured Damages ('000 US$),Continent,Disaster Subtype,date,year";;;;;;;
"87,3580067738847,Km2,,,,,2019,,13,ZAF,Eastern Cape Province,,,2019-0182-ZAF,,,,Hydrological,,""Eastern Cape (Adm1). "",1,,,Southern Africa,5,77310,2,,,South Africa,Natural,,,,,Flood,,,Heavy rains,182,,2,5,,,2019,2019,,Africa,,5/2019,2019";;;;;;;
"78,4521138829003,Km2,,,,125000,2012,14489,13,ZAF,""Bathurst, Port Alfred, Kenton-on-Sea towns (Ndlambe area, Cacadu district, Eastern Cape province), Grahamstown town (Makana area, Cacadu district, Eastern Cape province)"",-32.93,,2012-0469-ZAF,125000,,,Hydrological,,""Cacadu District Municipality (Adm2). "",2,,77319,Southern Africa,10,,24,200000,,South Africa,Natural,,,26.56,,Flood,,,Heavy rains,469,,29,10,254933,,2012,2012,,Africa,Riverine flood,10/2012,2012";;;;;;;
"79,6013094233451,Kph,,,,2870,2013,,3,ZAF,""Bishop Lavis, Hout Bay, Gugulethu, Strand, Khayelitsha boroughs (City of Cape Town district, Western Cape province)"",,,2013-0217-ZAF,2870,,,Meteorological,Flood,""City of Cape Town Metropolitan Municipality (Adm2). "",2,,77317,Southern Africa,6,,1,,,South Africa,Natural,,,,Hail,Storm,,,,217,,1,6,,,2013,2013,,Africa,Convective storm,6/2013,2013";;;;;;;
"80,8926237222027,Km2,,FL-2014-000038,,7185,2014,1037639,32,ZAF,""Gauteng, KwaZulu-Natal, Limpopo, Mpumalanga, North West provinces "",-21.5153,,2014-0099-ZAF,7185,,,Hydrological,""Slide (land, mud, snow, rock)"",""Gauteng, KwaZulu-Natal, Limpopo, Mpumalanga, North West (Adm1). "",1,,,Southern Africa,3,2708";77311;77312;77313;77314,1,85000,,South Africa,Natural,,,25.61,,Flood,,,Heavy and extented rainfall,99,,18,3,105078,,2014,2014,,Africa,Riverine flood,3/2014,2014;;;
"92,5901929309929,Kph,,OT-2021-00210,,8837,2021,,23,ZAF,""Mthatha town, OR Tambo, Buffalo City, Amathole, Alfred Nzou, Chris Hani, Joe Gqabi (Eastern Cape Province)";" Kwazulu-Natal"",,,2021-0811-ZAF,8810,,,Meteorological,Flood,""KwaZulu-Natal (Adm1). Alfred Nzo District Municipality, Amathole District Municipality, Buffalo City Metropolitan Municipality, Chris Hani District Municipality, Joe Gqabi District Municipality, O.R.Tambo District Municipality (Adm2). "",1";2,,77316;77320;77321;77322;77323;77353,Southern Africa,12,77311,12,,,South Africa,Natural,,Lightning/Thunderstorms,,,Storm,27,,,811,,30,12,,,2021,2021,,Africa,Convective storm,12/2021,2021
"92,5901929309929,Kph,,TC-2021-000011,,3200,2021,,4,ZAF,""Umkhanyakude, Zululand (Kwa Zulu Natal province) , Ehlanzeni, Mbombela, Bushbuckridge, Nkomazi, Thaba Chweu, Gert Sibande, Chief Albert Luthuli (Mpumalanga province)";" Capricorn, Lepelle-Nkump, Molemole, Mopane, Vhembe (Limpopo province)"",,,2021-0036-ZAF,3200,,Tropical cyclone 'Eloise',Meteorological,Flood,""Capricorn District Municipality, Ehlanzeni District Municipality, Gert Sibande District Municipality, Umkhanyakude District Municipality, Vhembe District Municipality, Zululand District Municipality (Adm2). "",2,,77334";77335;77339;77341;77343;77344,Southern Africa,1,,24,,,South Africa,Natural,,,,,Storm,,,,36,,24,1,,,2021,2021,,Africa,Tropical cyclone,1/2021,2021;
92,5901929309929,Km2,,,,12000000,2021,,,ZAF,,,,2021-9148-ZAF,12000000,,,Climatological,Food shortage,,,,,Southern Africa,3,,,,,South Africa,Natural,,,,,Drought,,,,9148,,,3,,,2021,2021,,Africa,Drought,3/2021,2021;;;;;;;
"92,5901929309929,Km2,,,,400,2021,,31,ZAF,""Mpumalanga Province, Free State Province and the area of Johannesburg and Pretoria, Limpopo, Mpumalanga, KwaZulu-Natal and Northern Cape Provinces"",,,2021-0075-ZAF,400,,,Hydrological,,""Free State, KwaZulu-Natal, Limpopo, Mpumalanga, Northern Cape (Adm1). City of Johannesburg Metropolitan Municipality, City of Tshwane Metropolitan Municipality (Adm2). "",1";2,,77364;77367,Southern Africa,2,2707;77311;77312;77313;77315,1,75000,,South Africa,Natural,,,,,Flood,,,Heavy rains,75,,15,2,81002,,2021,2021,,Africa,,2/2021,2021;
"100,Km2,,,,,2022,,10,ZAF,Eastern Cape Province,,,2022-0009-ZAF,,,,Hydrological,,""Eastern Cape (Adm1). "",1,,,Southern Africa,1,77310,8,70000,,South Africa,Natural,,,,,Flood,,,Heavy rains,9,,9,1,70000,,2022,2022,,Africa,,1/2022,2022";;;;;;;
"100,Km2,,,,100,2022,,1,ZAF,Ladysmith and Msinga (KwaZulu-Natal Province),,,2022-0035-ZAF,100,,,Hydrological,,""KwaZulu-Natal (Adm1). "",1,,,Southern Africa,1,77311,15,105000,,South Africa,Natural,,,,,Flood,,,Heavy rains,35,,16,1,105000,,2022,2022,,Africa,,1/2022,2022";;;;;;;
"100,Km2,,,,138,2022,,3,ZAF,""Gauteng Province";" KwaZulu-Natal "",,,2022-0077-ZAF,,,,Hydrological,,""Gauteng, KwaZulu-Natal (Adm1). "",1,,,Southern Africa,2,2708";77311,4,,,South Africa,Natural,,,,,Flood,,138,Heavy rains,77,,5,2,,,2022,2022,,Africa,,2/2022,2022;;;;;
"100,Km2,,,,187,2022,,4,ZAF,""Gauteng Province "",,,2022-0108-ZAF,187,,,Hydrological,,""Gauteng (Adm1). "",1,,,Southern Africa,2,2708,21,,,South Africa,Natural,,,,,Flood,,,Heavy rains,108,,22,2,,,2022,2022,,Africa,,2/2022,2022";;;;;;;
"100,Km2,,FL-2022-000201,1800000,142290,2022,,544,ZAF,""Umlazi Town (Durban, KwaZulu-Natal Province)"",,,2022-0205-ZAF,135345,,,Hydrological,""Slide (land, mud, snow, rock)"",""KwaZulu-Natal (Adm1). "",1,Yes,,Southern Africa,4,77311,8,3500000,,South Africa,Natural,,,,,Flood,50,6895,Heavy rains,205,,18,4,3500000,,2022,2022,1800000,Africa,,4/2022,2022";;;;;;;
"100,Km2,,,,200,2022,,,ZAF,Durban (KwaZulu-Natal province),,,2022-0313-ZAF,200,,,Hydrological,,""KwaZulu-Natal (Adm1). "",1,,,Southern Africa,5,77311,22,,,South Africa,Natural,,,,,Flood,,,Heavy rains,313,,22,5,,,2022,2022,,Africa,,5/2022,2022";;;;;;;
"100,Km2,,,,204,2022,,,ZAF,""Kleinvlei, Ravensmead, Goodwood, Strand, Bonteheuwel, Belhar, Maitland and Bellville South.(Cape Town)"",,,2022-0356-ZAF,200,,,Hydrological,,,,,,Southern Africa,6,,13,,,South Africa,Natural,,,,,Flood,4,,Heavy rains,356,,15,6,,,2022,2022,,Africa,,6/2022,2022";;;;;;;
